Counts of wrong predictions in unclassified region	PathogenicStart	PathogenicEnd	Accuracy	Precision	Recall	Specificity	Index
1	0.00014416429621633142	0.0004674155788961798	0.45910290237467016	0.42334739803094235	1.0	0.10284463894967177	140
1	0.00014460293459706008	0.0004682700091507286	0.45954265611257694	0.42354596622889307	1.0	0.10357403355215171	141
1	0.0001474809687351808	0.00047156980144791305	0.4599824098504837	0.4237447207883623	1.0	0.10430342815463166	142
1	0.00014999321138020605	0.00047156980144791305	0.4604221635883905	0.423943661971831	1.0	0.1050328227571116	143
1	0.0001535991468699649	0.00047156980144791305	0.4608619173262973	0.42414279004227334	1.0	0.10576221735959154	144
1	0.00015442668518517166	0.00047333745169453323	0.46130167106420406	0.4243421052631579	1.0	0.10649161196207148	145
1	0.00015442668518517166	0.0004735294496640563	0.46174142480211083	0.4245416078984485	1.0	0.10722100656455143	146
1	0.00015575125871691853	0.0004795956483576447	0.4621811785400176	0.4247412982126058	1.0	0.10795040116703136	147
1	0.00015853217337280512	0.0004813153645955026	0.46262093227792433	0.4249411764705882	1.0	0.10867979576951131	148
1	0.00016054902516771108	0.0004826502699870616	0.4630606860158311	0.4251412429378531	1.0	0.10940919037199125	149
1	0.00016181543469429016	0.0004854925791732967	0.4635004397537379	0.42534149788035797	1.0	0.11013858497447118	150
1	0.00016341530135832727	0.0004864125803578645	0.46394019349164467	0.4255419415645617	1.0	0.11086797957695113	151
1	0.000164069642778486	0.000488610821776092	0.46437994722955145	0.42574257425742573	1.0	0.11159737417943107	152
1	0.00016559338837396353	0.0004890096606686711	0.4648197009674582	0.4259433962264151	1.0	0.11232676878191102	153
1	0.00016594951739534736	0.0004890994168817997	0.465259454705365	0.42614440773949974	1.0	0.11305616338439095	154
1	0.0001675062085269019	0.0004908938426524401	0.4656992084432718	0.4263456090651558	1.0	0.1137855579868709	155
1	0.00016751403745729476	0.0004908938426524401	0.46613896218117856	0.42654700047236654	1.0	0.11451495258935084	156
1	0.00016775332915131003	0.0004908938426524401	0.4665787159190853	0.42674858223062384	1.0	0.11524434719183078	157
1	0.00016864102508407086	0.0004908938426524401	0.46701846965699206	0.4269503546099291	1.0	0.11597374179431072	158
1	0.0001692302612354979	0.0004908938426524401	0.46745822339489884	0.4271523178807947	1.0	0.11670313639679067	159
1	0.0001712170778773725	0.0004937358316965401	0.4678979771328056	0.42735447231424517	1.0	0.1174325309992706	160
1	0.0001716424012556672	0.0004965601256117225	0.4683377308707124	0.4275568181818182	1.0	0.11816192560175055	161
1	0.00017376898904331028	0.0005000969977118075	0.4687774846086192	0.42775935575556606	1.0	0.11889132020423049	162
1	0.00017385667888447642	0.0005000969977118075	0.46921723834652596	0.42796208530805685	1.0	0.11962071480671042	163
1	0.00017814012244343758	0.0005025438731536269	0.46965699208443273	0.42816500711237554	1.0	0.12035010940919037	164
1	0.00018147450464311987	0.000503700808621943	0.4700967458223395	0.4283681214421252	1.0	0.12107950401167031	165
1	0.00018147450464311987	0.000503700808621943	0.47053649956024624	0.42857142857142855	1.0	0.12180889861415026	166
1	0.00018973714031744748	0.000503700808621943	0.470976253298153	0.4287749287749288	1.0	0.12253829321663019	167
1	0.0001908073463710025	0.000503700808621943	0.4714160070360598	0.428978622327791	1.0	0.12326768781911014	168
1	0.0001914838794618845	0.000503700808621943	0.47185576077396657	0.4291825095057034	1.0	0.12399708242159008	169
1	0.00019252521451562643	0.000503700808621943	0.47229551451187335	0.42938659058487877	1.0	0.12472647702407003	170
1	0.00019363718456588686	0.000503700808621943	0.4727352682497801	0.4295908658420552	1.0	0.12545587162654998	171
